Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2025	12	2024	2024	81.630359	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	3	Am Ring	13
2025	12	2024	2024	70.853465	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	4	Breite	9
2025	12	2024	2024	90.759051	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	5	St. Alban	17
2025	12	2024	2024	69.595726	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	6	Gundeldingen	7
2025	12	2024	2024	109.906304	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	7	Bruderholz	20
2025	12	2024	2024	92.35241	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	8	Bachletten	18
2025	12	2024	2024	74.520576	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	9	Gotthelf	11
2025	12	2024	2024	68.989169	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	10	Iselin	6
2025	12	2024	2024	72.172629	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	11	St. Johann	10
2025	12	2024	2024	68.982485	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	12	Altstadt Kleinbasel	5
2025	12	2024	2024	66.778986	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	13	Clara	3
2025	12	2024	2024	82.784261	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	14	Wettstein	15
2025	12	2024	2024	80.822142	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	15	Hirzbrunnen	12
2025	12	2024	2024	70.284799	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	16	Rosental	8
2025	12	2024	2024	67.028175	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	17	Matthäus	4
2025	12	2024	2024	64.802795	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	18	Klybeck	1
2025	12	2024	2024	66.35332	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	19	Kleinhüningen	2
2025	12	2024	2024	102.545562	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	20	Riehen	19
2025	12	2024	2024	120.159574	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	30	Bettingen	21
2025	13	2024	2024	53.690107	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	1	Altstadt Grossbasel	21
2025	13	2024	2024	50.682073	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	2	Vorstädte	19
2025	13	2024	2024	44.921115	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	3	Am Ring	13
2025	13	2024	2024	39.414367	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	4	Breite	9
2025	13	2024	2024	46.79472	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	5	St. Alban	16
2025	13	2024	2024	39.42054	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	6	Gundeldingen	10
2025	13	2024	2024	48.099438	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	7	Bruderholz	18
2025	13	2024	2024	46.038589	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	8	Bachletten	15
2025	13	2024	2024	41.346443	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	9	Gotthelf	11
2025	13	2024	2024	37.22344	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	10	Iselin	6
2025	13	2024	2024	36.777447	Wohnfläche&nbsp;pro&nbsp;Kopf	Wohnflaecheprokopf	11	St. Johann	4
