JAHR	Wohnviertel_Id	Wohnviertel_Name	Altersgruppe	Schweizerinnen	Schweizer	Ausländerinnen	Ausländer
2023	17	Matthäus	55-59	240	248	225	270
2023	17	Matthäus	60-64	222	265	159	230
2023	17	Matthäus	65-69	214	204	118	144
2023	17	Matthäus	70-74	188	181	99	91
2023	17	Matthäus	75-79	155	124	79	68
2023	17	Matthäus	80-84	114	79	29	44
2023	17	Matthäus	85-89	74	42	21	19
2023	17	Matthäus	90-94	38	10	9	5
2023	17	Matthäus	95-99	18	3	1	1
2023	17	Matthäus	100+	1	1	0	0
2023	18	Klybeck	0-4	55	64	72	70
2023	18	Klybeck	5-9	60	78	97	96
2023	18	Klybeck	10-14	51	82	90	98
2023	18	Klybeck	15-19	90	81	76	80
2023	18	Klybeck	20-24	142	109	92	109
2023	18	Klybeck	25-29	131	141	143	177
2023	18	Klybeck	30-34	129	127	173	198
2023	18	Klybeck	35-39	97	97	187	205
2023	18	Klybeck	40-44	83	112	148	200
2023	18	Klybeck	45-49	84	91	148	170
2023	18	Klybeck	50-54	96	80	121	134
2023	18	Klybeck	55-59	127	132	105	140
2023	18	Klybeck	60-64	137	132	99	108
2023	18	Klybeck	65-69	99	94	58	79
2023	18	Klybeck	70-74	76	71	55	57
2023	18	Klybeck	75-79	67	62	30	42
2023	18	Klybeck	80-84	47	42	25	14
2023	18	Klybeck	85-89	44	21	8	5
2023	18	Klybeck	90-94	22	18	4	2
2023	18	Klybeck	95-99	4	1	1	0
2023	18	Klybeck	100+	1	1	0	0
2023	19	Kleinhüningen	0-4	32	25	34	43
2023	19	Kleinhüningen	5-9	24	32	34	35
2023	19	Kleinhüningen	10-14	26	32	37	34
2023	19	Kleinhüningen	15-19	34	40	27	31
2023	19	Kleinhüningen	20-24	53	48	41	43
2023	19	Kleinhüningen	25-29	50	34	54	64
2023	19	Kleinhüningen	30-34	37	30	76	81
2023	19	Kleinhüningen	35-39	33	36	65	76
2023	19	Kleinhüningen	40-44	30	25	66	76
2023	19	Kleinhüningen	45-49	39	29	46	63
2023	19	Kleinhüningen	50-54	48	42	45	46
2023	19	Kleinhüningen	55-59	47	46	41	41
2023	19	Kleinhüningen	60-64	49	64	34	55
2023	19	Kleinhüningen	65-69	42	52	33	30
2023	19	Kleinhüningen	70-74	49	35	25	16
2023	19	Kleinhüningen	75-79	38	34	13	17
2023	19	Kleinhüningen	80-84	43	29	13	8
2023	19	Kleinhüningen	85-89	25	8	8	6
2023	19	Kleinhüningen	90-94	12	4	2	2
2023	19	Kleinhüningen	95-99	6	2	1	0
2023	19	Kleinhüningen	100+	2	0	0	0
2023	20	Riehen	0-4	280	307	172	193
2023	20	Riehen	5-9	395	442	224	234
2023	20	Riehen	10-14	433	437	242	235
2023	20	Riehen	15-19	464	450	172	209
2023	20	Riehen	20-24	332	416	97	99
2023	20	Riehen	25-29	225	237	122	131
2023	20	Riehen	30-34	263	266	203	170
2023	20	Riehen	35-39	323	316	349	285
2023	20	Riehen	40-44	425	367	406	364
2023	20	Riehen	45-49	516	381	374	381
2023	20	Riehen	50-54	498	462	305	264
2023	20	Riehen	55-59	691	574	244	262
2023	20	Riehen	60-64	690	597	148	185
2023	20	Riehen	65-69	628	519	73	87
2023	20	Riehen	70-74	549	442	53	54
2023	20	Riehen	75-79	574	438	46	48
2023	20	Riehen	80-84	523	372	59	65
2023	20	Riehen	85-89	406	222	30	16
2023	20	Riehen	90-94	231	136	10	11
2023	20	Riehen	95-99	75	16	2	1
2023	20	Riehen	100+	7	3	0	0
2023	30	Bettingen	0-4	25	22	12	8
2023	30	Bettingen	5-9	28	26	8	11
2023	30	Bettingen	10-14	19	32	10	8
2023	30	Bettingen	15-19	25	26	10	8
2023	30	Bettingen	20-24	19	27	9	15
2023	30	Bettingen	25-29	26	18	8	13
2023	30	Bettingen	30-34	20	17	12	11
2023	30	Bettingen	35-39	19	21	22	14
2023	30	Bettingen	40-44	35	26	14	11
2023	30	Bettingen	45-49	17	28	14	15
2023	30	Bettingen	50-54	32	18	14	12
2023	30	Bettingen	55-59	45	43	9	16
2023	30	Bettingen	60-64	39	44	10	4
2023	30	Bettingen	65-69	37	35	4	4
2023	30	Bettingen	70-74	25	30	7	3
2023	30	Bettingen	75-79	36	23	0	2
2023	30	Bettingen	80-84	22	16	3	4
2023	30	Bettingen	85-89	26	16	2	1
2023	30	Bettingen	90-94	17	2	2	0
2023	30	Bettingen	95-99	5	1	1	1
2023	30	Bettingen	100+	1	0	0	0
